"city","state","name"
"0818",8,"Curanilahue"
"0819",8,"Canete"
"0820",8,"Yumbel"
"0821",8,"Ranquil"
"0822",8,"Lebu"
"0823",8,"Mulchen"
"0824",8,"Nacimiento"
"0825",8,"San Carlos"
"0826",8,"Quillon"
"0827",8,"Coelemu"
"0828",8,"Bulnes"
"0829",8,"Yungay"
"0830",8,"Tucapel"
"0831",8,"Antuco"
"0832",8,"Negrete"
"0833",8,"Quirihue"
"0834",8,"Tirua"
"0835",8,"Contulmo"
"0836",8,"Santa Barbara"
"0837",8,"Niquen"
"0838",8,"San Fabian"
"0839",8,"Coihueco"
"0840",8,"Pinto"
"0841",8,"San Ignacio"
"0842",8,"El Carmen"
"0843",8,"Pemuco"
"0844",8,"Portezuelo"
"0845",8,"Trehuaco"
"0846",8,"Cobquecura"
"0847",8,"Ninhue"
"0848",8,"San Nicolas"
"0849",8,"Quilaco"
"0850",8,"Chillan Viejo"
"0851",8,"Chiguayante"
"0852",8,"San Pedro De La Paz"
"0853",8,"Chillan (Huape)"
"0854",8,"Chillan (Quinchamali)"
"0855",8,"Bulnes (Santa Clara)"
"0856",8,"Ranquil (Confluencia)"
"0857",8,"Bulnes (Pueblo Seco)"
"0858",8,"Coihueco (Cato)"
"0859",8,"Ranquil (Nipas)"
"0860",8,"San Ignacio (Recinto)"
"0861",8,"Chillan (Talquipen)"
"0862",8,"Chillan (Las Trancas)"
"0863",8,"Chillan (Cocharcas)"
"0864",8,"Cabrero (Campanario)"
"0865",8,"Cabrero (Monte Aguila)"
"0866",8,"Lota (Colcura)"
"0867",8,"Tome (Rafael)"
"0868",8,"Hualpen"
"0869",8,"Concepcion (Agua Dl Gloria)"
"0870",8,"Quilleco (Canteras)"
"0871",8,"Yungay (Cholguan)"
"0872",8,"Florida (Copiulemu)"
"0873",8,"Talcahuano (El Alamo)"
"0874",8,"Tucapel (Huepil)"
"0876",8,"Yumbel (Rio Claro)"
"0877",8,"Quilaco (Rucalhue)"
"0878",8,"Los Angeles (Santa Fe)"
"0879",8,"Yumbel (Tomeco)"
"0880",8,"Quilleco (Villa Las Mercedes)"
"0881",8,"Los Angeles (Salto Del Laja)"
"0882",8,"Los Angeles (San Carlos Los Ang)"
"0883",8,"Tome (Cocholgue)"
"0884",8,"Tome (Coliumo)"
"0885",8,"Tome (Dichato)"
"0886",8,"Tome (Pingueral)"
"0887",8,"Talcahuano (Tumbes)"
"0888",8,"Arauco (Carampangue)"
"0889",8,"Arauco (Laraquete)"
"0893",8,"Coihueco (Niblinto)"
"0894",8,"San Carlos (Ninquihue)"
"0895",8,"Bulnes (Rucapequen)"
"0896",8,"Ranquil (Nueva Aldea)"
"0897",8,"Chillan (Oro Verde)"
"0901",9,"Angol"
"0902",9,"Renaico"
"0903",9,"Collipulli"
"0904",9,"Lonquimay"
"0905",9,"Curacautin"
"0906",9,"Ercilla"
"0907",9,"Victoria"
"0908",9,"Traiguen"
"0909",9,"Lumaco"
